,0
Mansura,8230
Mantha,2085
Manthani,983
Manubazar,8209
Manvi,8265
Manvi,126
Manwat,1474
Mapusa,837
Marakkanam,1845
Maranelloor,4373
Marapally,986
Marathawada Shetkari Khajgi Bazar Parisar,10083
Mardapal,4096
Maregoan,2104
Margao,74
Marh,8273
Mari Buchain,8241
Markapur,985
Marori,8226
"Marripalem,RBZ,Visakhapatnam",1211
Martur,2043
Maru,8333
Marudhara  Private  Market Yard ,10122
Masli,8218
Masmara,8217
Master Ji Mandi Yard  ,10128
Matar,1699
Matar(Limbasi),3016
Mathabhanga,2920
Mathania,2862
Mathura,679
Matigara,3939
Mattathur,4383
Mau,3455
Mau(Chitrakut),2596
Mauda,4763
Maudaha,1969
Maur,1575
Maur Maqsudan,8252
Mauranipur,1913
Mawana,2532
Mawiong Regulated Market,152
Mawkyrwat,2051
Mayabandar,4363
Mayiladuthurai(Uzhavar Sandhai ),10197
Maylampadi,3536
Mazhuvannur,4379
Mecheri,10048
Mechua,3626
Medak,395
"Medak Town,RBZ",3585
Medarada,8372
Medavakkam(Uzhavar Sandhai ),10304
Medchal,987
Medinipur(West),698
Medipally,3813
Meerut,336
Meghraj,1690
Meghraj(Radlavada),3011
Mehal Kalan,1758
Mehal Kallan (ChananWal),4434
Meham,2036
Mehar,3053
Mehatpur,3832
"Mehdipatnam,RBZ",1246
Mehekar,1482
Mehgaon,3798
Mehil Gehlan,8348
Mehmadabad,1406
"Mehmadabad(Veg ,market)",2999
Mehmoodabad,1949
Mehndipatnam(Rythu Bazar),4305
Mehrauni,1973
Mehsana,464
Mehsana(Jornang),3214
Mehsana(Mehsana Veg),3415
Mehta,1730
Mekhliganj,4332
Mekhliganj,3936
Melaghar,706
Melapalayam(Uzhavar Sandhai ),10251
Melli,850
Melur,3703
Melur(Uzhavar Sandhai ),10195
Memari,3631
Merta City,663
Metpally,988
Mettupalayam(Uzhavar Sandhai ),10149
Mettur(Uzhavar Sandhai ),10225
Mhalingapur,717
Mhow,819
Miao,1865
Midnapore Sadar,360
Mihipurwa,2606
Milak,3452
Miryalaguda,12
"Miryalaguda (NSP Camp),RBZ",3593
Miryalguda(Rythu Bazar),4302
Mirzapur,691
Misrikh,2592
Mission,1861
Modasa,813
Modasa(Tintoi),3014
Moga,240
Moga(Charik),8062
Moga(Khosa Pando),8064
Moga(Khukhrana),8063
Mohamadabad,2582
Mohammdi,2146
Mohana,1636
Mohangarh,8200
Mohanpur,1875
Mohanur(Uzhavar Sandhai ),10205
Mohgaon,3801
Mohindergarh,1157
Mohol,2083
Mokama,1633
Mokokchung Town,615
Momanbadodiya,2718
Monday Market,1859
Moodigere,738
Moolanur,1851
Moonak,1616
Moongilthuraipattu,3687
Moovattupuzha,135
Moranjakhari,8175
Morbi,66
"Morbi(veg.sub,yard)",2948
Moreh,1101
Morena,554
Morena(F&amp;V),3891
Morinda,823
Morshi,1479
Morva Hafad,2662
Motala,2100
Moth,1975
Mothkur,989
Motihari,424
Mottagaon,3915
Movva Hqs,990
Mow,3064
Moynaguri,4334
Moynaguri(Dhupguri),3938
MS Kalpana Agri Commodities Marketing,10066
Mudharu    GSS,10139
Mudkhed,2130
Mugrabaadshahpur,1955
Mukerian,637
Mukerian(Talwara),2895
Mukhed,2131
Mukhed(Mukkambad),3967
Mukhiguda,1686
Mukkom,3094
Muktsar,241
Mukundgarh,8117
Mul,1500
Mulabagilu,1767
"Mulagada,Visakhapatnam",1209
Mulakalacheruvu,2170
Muli,2678
Muli,4085
Mullana,1981
Mullana(saha),2820
Mullanpur,1747
Mullanpur Dakha (Sawadi),4404
Mulshi,2385
Multai,1371
Mulugu,991
Mumbai,162
Mummidivaram,992
Mundaragi,755
Mundgod,798
Mundi,10052
Mundra,1405
Mungawali,2634
Munghair,421
Munguli,433
Munnar,2153
Muradabad,337
Muradnagar,2534
Murbad,2067
Murim,1765
Murliganj,10023
Murtizapur,594
Murud,2065
Musiri(Uzhavar Sandhai ),10281
Muskara,2599
Mustafabad,1987
Muthupettai(Uzhavar Sandhai ),10264
Muthur,3543
Muzaffarpur,36
Muzzafarnagar,709
Mydukur,993
Myladi(Uzhavar Sandhai ),10301
Mylampadi,3729
Mylavaram,994
"Mylavaram,RBZ",3569
Mysore (Bandipalya),123
N N Mundhada Agriculture Market Produce ,10084
Naanpara,1938
Nabarangpur(Umerkote),3131
Nabha,246
Nadia,701
Nadiad,60
Nadiyad(Chaklasi),2971
Nadiyad(Piplag),2972
Nadoti,8114
Nadwai,1530
Nagalapuram,2171
Nagamangala,524
Nagapattinam,3613
Nagapattinam(Uzhavar Sandhai ),10198
Nagar,1531
Nagaram,997
Nagari,995
Nagari,2753
Nagarkurnool,799
Nagarkurnool(Talkapalli),2777
Nagaur,282
Nagaur(Jayal),3150
Nagbhid,1501
Nagda,2463
Nagina,2567
Naginimora,616
Nagod,2435
Nagour(FV),2868
Nagpur,163
Nagpur(Hingna),3109
Nagpur(Mahatma Phule Market),2512
Nagra,8259
Nagri parole,8279
Nagur,996
Nahan,493
Naharawali,8166
Nahargarh,8431
Naharlagun,20
Naidupet,998
Naigaon,1521
Naila,434
Nainpur,3049
Najafgarh,49
Najibabad,1966
Nakhatrana,2656
Nakodar,648
Nakodar(Sarih),3833
Nakrekal,999
Nakud,2544
Nalbari,1885
Nalgonda,1000
Naliya,8352
Nalkehda,2458
Namagiripettai,2802
Namakkal,672
Namakkal(Agri. Coop. Marketing Society),3791
Namakkal(Uzhavar Sandhai ),10200
Nambiyur,3537
Namchi,3440
Namhol(Bilaspur),2906
Namol,8253
Nampur,4764
Nanakmatta,3842
Nandagada,723
Nanded,589
Nandgaon,1448
Nandigama,1002
"Nandigama,RBZ",3564
Nandikotkur,388
Nandoda,8384
Nandubar(Koparli),3961
Nandura,1483
Nandurbar,165
Nandyal,1001
"Nandyal(Srinivasnagar),RBZ",3581
Naneola,1982
Nanganallur(Uzhavar Sandhai ),10305
Nanggaon,2098
Nanjangud,778
Nanuta,2545
Naraingarh,1983
Narasannapet,372
Narasaraopet,377
"Narasaraopet,RBZ",3571
Narasaraopeta,3751
Naravarikuppam(Uzhavar Sandhai ),10258
Narayankhed,1007
Narayanpet,1004
Narayanpur,2415
Narayanpur,8110
Narela,48
Nargund(Sirol),4133
Nargunda,754
Narharpur,4106
Narkatiaganj,1639
Narkhed,1507
Narnaud(Bass),2829
Narnaul,481
Narnaund,2006
Narnoor,8015
Narot J Singh,1742
Narsampet,1009
Narsampet(Nekonda),2786
Narsapur,1005
Narsapuram,1010
"Narsapuram,RBZ",3561
Narsinghgarh,2429
Narsinghpur,557
Narsingi,1003
Narsingi(Babbuguda),8003
Narsipatnam,1006
Narwal Jammu (F&amp;V),496
Narwana,85
Naseerabad,8288
Nashik(Devlali),2486
Nasik,168
Nasrullaganj,1833
Nasvadi,2661
Nasvadi(Thalkala),3433
Natham,3708
Nathea,8071
Nathsur GSS ,10137
Natrampalli(Uzhavar Sandhai ),10320
Natwar,1637
Naugachiya,10007
Naugaon,8320
Naugarh,1901
Naushera Pannua (Dhotian),4441
Naushera Pannuan,1731
Nautnava,1946
Navagam,8391
Navagaon,4045
Navapara,191
Navapur,2074
Navratna Krishi Utpanna Khajgi Bazar ,10114
Navsari,1420
Nawabganj,2605
Nawada,1139
Nawalgarh,278
Nawan Shahar(Mandi Aur),3102
Nawan Shahar(Mandi Jadla),3101
Nawan Shahar(MandiRaho),2876
Nawan Shahar(Subzi Mandi),2875
Nawanshahar,644
Nawarangpur,223
Nazerethpet,3645
NCDEX Spot Exchange ,10053
"Near Rly. Gate,Mahbubnagar,RBZ",3584
Nedumangadu,146
Nedumkandam,3082
Needamangalam(Uzhavar Sandhai ),10263
Neeleswaram,2159
Neem Ka Thana,1559
Neemuch,190
Negamam,3524
Nelakondapally,8024
Nelakondapally,1012
Nellore,1011
"Nellore(Play Ground),RBZ",1233
Neora,427
Ner Parasopant,2105
Neredcherla,2215
"New Grain Market , Ambala",3647
"New Grain Market , Bhiwani",3648
"New Grain Market , Faridabad",3649
"New Grain Market , Jind",3670
"New Grain Market , Panchkula",3675
"New Grain Market , Rohtak",3601
"New Grain Market , Sirsa",3602
"New Grain Market , Sonipat",3603
"New Grain Market(main), Karnal",3671
"New Grain Market-2 , Hisar",3668
New Market Aizawl,201
Newasa,1821
Newasa(Ghodegaon),3115
Neyyatinkara,2351
NGO Colony(Uzhavar Sandhai ),10253
"NGOs Colony,RBZ",1245
Nidadavolu,1219
Nidamanoor,398
Nidamanoor,8032
Nigdu,2024
Nihal Singh Wala,1603
Nihal Singh Wala (Himmatpura),4429
Nihal Singh Wala (Rautan),4408
Nikumbh,8186
Nilagiri,4264
Nilanga,2125
Nilgiris,3606
Nilokheri,2025
Nimapara,1662
Nimbahera,263
Nippani,724
Nira,1456
Nira(Saswad),3113
Niralangar (F&amp;V),331
Nirmal,371
Nissing,2026
Niuland,4246
Niwadi,2452
Niwadi(F&amp;V),3896
Niwai,1527
Nizamabad,14
Nizar,1713
Nizar(Kukarmuda),3029
Nizar(Pumkitalov),3438
Nohar,1539
Noida,3446
Nokha,1534
Nokha,804
Nongpoh (R-Bhoi),847
Nongstoin,2048
Noona,8242
Noor Mehal,1745
Noor Mehal(Kot Badal Khan),3834
North Lakhimpur,1882
North Paravur,4391
Nowpora,102
"Nr. Co-op Central Bank(Ten),RBZ",1229
Nuh,2000
Nurpurbet,8227
Nutanbazar,1877
Nuzvid,1013
"Nuzvid (Gandhi Park),RBZ",3563
NVM Gurgaon,8036
Obedullaganj,1835
Oddunchairum,2816
Olapad,8387
"Old Bus Stand, Chilakaluripet,RBZ",3572
"Old Maharaj Hospital,RBZ,Vizianagaram",1202
Om Chaitanya Multistate Agro Purpose CoOp Society ,10108
Omalloor,4392
Omalur,3695
Ongole,1014
Ongole(Rythu Bazar),4303
"Opp.Municipal Office,Adilabad,RBZ",3587
"Opp:Swami Theatre, ,RBZ,Guntur",1225
Orai,1891
Orathanadu,1853
Osmanabad,1828
"P. Ramacharyulu Park,RBZ",1236
P.O. Uparhali Guwahati,23
Paatan,8326
Pabiacherra,705
Pachaur,2428
Pachora,573
Pachora(Bhadgaon),2482
Padadhari,8368
Padampur,619
Padampur,1189
Padappai(Uzhavar Sandhai ),10177
Paderu,1015
Padra,1201
Pahadai,8096
Pahari,8426
Pahariya pandeypur(F&amp;V),347
Pahikonda,2194
Pai,2019
Pai(Rajaund),2831
Paithan,1817
Pakala,1016
Pakhanjur,8331
Pakkasarna,8163
Pakur,2058
Pala,2362
Palacode(Uzhavar Sandhai ),10161
Palakkad,143
Palakode,2794
Palakole,1018
"Palakole ,RBZ",3558
Palakonda,1017
Palam,2089
Palamaner,382
Palampur,492
Palanganatham(Uzhavar Sandhai ),10192
Palani,2818
Palani(Uzhavar Sandhai ),10165
Palanpur,1143
"Palanpur(Veg,Yard Palanpur)",2961
Palari,4005
Palari,8329
Palayam,539
Palayamangalam,4387
Palayamkottai(Uzhavar Sandhai ),10249
Palaytha,8132
Palera,8324
Palghar,2068
Pali,658
Paliakala,1921
Palitana,1762
Palladam,2792
Palladam(Uzhavar Sandhai ),10321
Pallahara,4265
Pallapatti (Uzhavar Sandhai ),10183
Pallavaram(Uzhavar Sandhai ),10302
Palli morh,8285
Pallipattu,3655
Pallu,8151
Palsana,10044
Palthan,1461
Palus,2081
Palwal,485
Pamarru,1020
Pamohi(Garchuk),8207
Pampady,2359
Panancheri,4377
Panchkul(Kalka),2835
Panchkula,474
Panchpedwa,2619
Pandalam,2150
Pandara,2345
Pandariya,2748
Pandavapura,1768
Pandhakawada,1489
Pandhana,2451
Pandhana(F&amp;V),3878
Pandharpur,579
Pandhurna,2418
Pandhurna(F&amp;V),3903
Pandkital,3922
Pandua,355
Pangaon,4006
Panichowki,8215
Panipat,475
Panipat(Baharpur),2834
Panipat(Fish Market),4273
Panisagar,710
Paniyawali,8171
Panna,817
Panposh,1178
Panruti,1362
Panruti(Uzhavar Sandhai ),10157
Panthawada,1719
Panvel,1799
Panwadi,3443
Panwar,8139
Paonta Sahib,77
Papanasam,8292
Papanasam(Uzhavar Sandhai ),10241
Papparapatti,3748
Pappireddipatti,3745
Parakkodu,538
Parali Vaijyanath,1516
Paramakudi,2815
Paramakudi(Uzhavar Sandhai ),10219
Paramathivelur(Uzhavar Sandhai ),10204
Paranda,2138
Parappanangadi,3089
Parassala,2350
Parbhani,592
Parchur,1021
Pardi,2667
Pardi(Motavagachiya),3424
Pardi(Rohinee),3425
Pardi(Ugvada),3422
Pardi(Vapi),3423
Pargi,1023
Parikshitgarh,2533
Parimpore,105
Pariyaram,4381
Parkal,1024
Parlakhemundi,1663
Parner,2072
Parola,1443
Parshiwani,2118
Parsoli,8195
"Parsoniya Mandi, Mahua block",10040
Partappura(E),8341
Partaval,1890
Partur,1472
Partur(Vatur),3965
Paruthipattu(Uzhavar Sandhai ),10257
Parvathipuram,1022
"Parvathipuram ,RBZ",3552
Pasighat,368
"Patamata,RBZ",1223
Patan,1831
Patan,466
Patan,4036
"Patan(Veg,Yard Patan)",2960
Pataudi,2001
"Pateri Belchar Mandi, Bhagwanpur block",10041
Patewa,4047
Pathalgaon,2760
Pathankot,625
Pathankot (Kanwa),4443
Pathapatnam,1026
Pathardi,1432
Pathari,2087
Patharia,1387
Pathebad(Rythu Bazar),4309
Pathriya,4057
Patiala,243
Patiala(Anaj Mandi Sanaur Road),3103
Patiala(New Anaj Mandi),2878
Patna (Musallahpur),37
Patna City,38
Patoda,2123
Patran,244
Patran(Ghagga Mandi),2877
Patroda,8158
Pattambi,2531
Pattamundai,4257
Pattan,2526
Patti,624
Patti Multani,8234
Pattikonda,1025
Pattukottai,3711
Pattukottai(Uzhavar Sandhai ),10239
Patur,2095
Pavagada,511
Pavani,1814
Pavaratty,8440
"Pavilion Ground,Khammam,RBZ",3589
Pawai,8321
Payagpur,2621
Payyannur,138
Pazhayannur,4382
"Pedagantiyada,RBZ,Visakhapatnam",1212
Peddapalli,1027
Peddapuram,373
Peddapuram(Phase7),3752
"Peddavaltair,RBZ,Visakhapatnam",1208
Pegadapally,8010
Pehowa,93
Pehowa(Gumthala Gahru),2833
Pen,2066
Penamaluru,3979
Pendraroad,2755
"Pendurthi,RBZ",3553
Pennagaram,2795
Pennagaram(Uzhavar Sandhai ),10160
Penugonda,374
Penukonda,385
Perambakkam(Uzhavar Sandhai ),10259
Perambalur(Uzhavar Sandhai ),10210
Perambra,3093
Perfect Krishi Market Yard,10076
Perfect Krishi Market Yard Pvt Ltd ,10111
Perinthalmanna,3088
Periyakulam(Uzhavar Sandhai ),10245
Periyar Nagar(Uzhavar Sandhai ),10173
Pernamallur,3664
Pernem,3819
Perumbavoor,3084
Perundurai,3538
Perundurai(Uzhavar Sandhai ),10174
Pethappampatti,3527
Petlad,1409
"Petlad(Veg Yard, Petlad)",3000
Petlawad,1374
Pfatsero,207
Phagwara,640
Phallarh,8073
Phambra,8057
Pharasgaon,4091
Phek,1871
Phillaur,628
Phillaur(Apra Mandi),3100
Phingeshwer,4007
Pichhour,2736
Pidawa,8434
Pidugurala,2293
Pidugurala(Palnadu),1019
Piler,1028
Pilibhit,339
Pilli Banga,272
Pillukhera,2013
Pimpalgaon,170
Pimpalgaon Baswant(Saykheda),2488
Pipar City,2849
Pipariya,553
Pipli,2031
Piplya,2711
Piprai,3796
Pipriya,4050
Piravam,2347
Pirawa ,8127
Pirda,4023
Piriya Pattana,127
Piro,10009
Pithapuram,1030
Pithoura,2403
Pitlam,1029
"Pochamma Maidan,RBZ",1241
Pochampalli,1108
Podili,1031
Pohari,2446
Polavaram,1032
Pollachi,292
Pollachi(Uzhavar Sandhai ),10148
Polur,2813
Polur(Thiruvannamalai),1110
Polur(Uzhavar Sandhai ),10270
Pombhurni,4758
Ponda,838
"Ponda, Bagayatdar Bhawan",3955
Ponduru,1033
Pongalur,3526
Ponner,3646
Ponnur,1034
Poongal Road,10045
Poonthottam,2627
Porbandar,1698
Porsa,2743
Porsa(F&amp;V),3892
Port Blair,366
Pothencode,2349
Pothgal,1035
Pothgal,8017
Pothkapally,8018
Pragwal,8272
Prahaladpur,8269
Pramadom,4374
Prantij,1419
Prantij(Salala),3038
Prasanna Krushi Market,10086
Praswada,3802
Pratap Nana Mahale Khajgi Bajar Samiti ,10117
Pratap Rudrapur,4260
Pratapgarh,686
Pratapgarh,264
Pratappur,2765
Prattipadu,2269
Premium Krushi Utpanna Bazar ,10118
Prithvipur,8325
Proddatur,1036
"Proddatur,RBZ",3579
Pudukottai,3615
Pudukottai(Uzhavar Sandhai ),10212
Pudupalayam,2806
Pudur,3458
Pugal Road Bikaner,8427
Pukhrayan,1194
Pulgaon,1509
Pulivendala,1037
"Pullanga X Road,RBZ",1244
Pulpally,2154
Pulwama (F&amp;V),500
Punalur,2354
Punchaipuliyampatti,3539
Punchaipuliyampatti,2805
Pundibari,3632
Pundri,2016
Pune,172
Pune(Hadapsar),3110
Pune(Khadiki),2495
Pune(Manjri),4751
Pune(Moshi),4752
Pune(Pimpri),2494
Punganur,1038
Punhana,2002
Pur,8224
Purain,8232
Puramattom,8306
Puranpur,1906
Puri(Brahmagiri),3132
Purna,2086
Purulia,700
Purwa,2577
Pusad,1490
Pusapatirega,1039
Pusor,4070
Puttur,1040
Puttur,745
Puwaha,342
Qazigund,2518
Quadian,1583
Quilandy,3095
"Qutubullahpur,RBZ",1250
"R and B Guest House,RBZ,Vizianagaram",1203
Raath,1902
Racharla(Boppapur),8004
Radaur,1989
Radhanpur,1144
Radheja,450
Rafi-Abad,2524
Raghogarh,3062
Raghunathpur,4080
Rahama,4262
Rahata,2382
Rahatgarh,2710
Rahod,4063
Rahsmi,8189
Rahuri,1803
Rahuri(Songaon),3114
Rahuri(Vambori),2475
Raibareilly,683
Raichur,124
Raiganj,4337
Raiganj(Kalinganj),3941
Raigarh,436
Raike Kalan,8067
Raikot,638
Raikot (Nathowal),4437
Raikot (Talwandi rai),4428
"Railway Over Bridge./Fatima,RBZ",1240
Raini,8106
Raipur,200
Raipur Rai,1978
Rairakhol,1666
Raisen,558
Raisingh Nagar,666
Rajahmundry,1042
"Rajahmundry(Nataraj),RBZ",1214
Rajam,1043
Rajampet,1041
Rajapalayam,310
Rajapalayam(Uzhavar Sandhai ),10293
Rajasamand,1570
Rajasingamangalam,3744
Rajauli,10027
Rajaun,10003
Rajdhanai Mandi (KukarKheda),10042
Rajdhani Mandi ,10142
Rajdhani Mandi (Kukarkheda),8420
Rajgarh,8105
Rajgarh,2693
Rajim,1140
Rajkot,64
Rajkot(Ghee Peeth),2946
Rajnagar,2728
Rajnandgaon,192
Rajouri (F&amp;V),502
Rajpipla,1415
Rajpipla(Garudeshwal),3004
Rajpur,4079
Rajpura,1610
Rajula,452
Rajula(Dungar),2969
Rajura,2111
Ralegaon,2106
Ramachandrapuram,1046
Ramaganj Mandi,660
"Ramakrisnapuram,RBZ",1252
Raman,631
Ramanagar,4159
Ramanagara,773
Ramanathapuram,3624
Ramanathapuram(phase 3),1631
Ramanathapuram(Uzhavar Sandhai ),10218
Ramannapet,1045
Ramanujganj,2763
Ramayampet,1044
"Ramchandrapuram,RBZ",1258
Ramdev Krushi Bazaar,10078
Ramdurga,725
Ramdurga(Katikola),4117
Ramgang Mandi(Bapawarkala),3160
Ramgang Mandi(Samod),3157
Ramgarh,8111
Ramgarh,2052
Ramkrishanpur(Howrah),833
Ramnagar,1113
Ramnagar,10038
Ramnagar,3804
Rampur,680
Rampura,2649
Rampura,8295
Rampura Phul,630
Rampuraphul(Bhai Rupan),3823
Rampuraphul(Chowke),3826
Rampuraphul(Dhapali),3824
Rampuraphul(Mehraj),3825
Rampuraphul(Nabha Mandi),2890
Rampurhat,836
Rampurhat,2643
Rampurmaniharan,1960
Ramsara Jakhran,8176
Ramsingpur,8152
Ramtek,2117
Ranaghat,4344
Ranaghat(Kalyani),3948
Ranavav,8371
Ranchi,40
Randheja(Chiloda),2956
Randheja(Veg.Market Gandhinagar),2955
Ranebennur,118
Ranebennur(Halageri),4138
Rangpo,288
Rangpo Check Post,1190
Rangrao Patil Krushi Utpanna Khajgi Bazar ,10082
Rani,1550
Rania,2039
Rania(Jiwan nagar),2839
Raniganj,10000
Ranipettai(Uzhavar Sandhai ),10314
Ranniangadi,3076
Rannod,8313
Ranpur,2647
Rapar,1404
Rapur,1047
Rasda,2613
Rasipuram,3688
Rasipuram(Agri. Coop. Marketing Society),3792
Rasipuram(Uzhavar Sandhai ),10202
Ratangarh,10043
Ratangarh,8421
Ratanpur,4059
Ratia,2010
Ratlai,8129
Ratlam,551
Ratlam(F&amp;V),3884
Ratnagiri (Nachane),1823
Rattia,82
Raver,1444
Raver(Sauda),2483
"Ravulapalem(MY),RBZ",1217
Ravulapelem,2787
Rawatsar,1540
Rawla,1564
Raxaul,10022
Rayachoti,384
Rayadurg,1048
Rayagada,225
Rayagada(Muniguda),3123
Rayya,1773
Rayya(Sathiala),2882
Razole,1049
RD 36 5,8153
Reasi,2633
Redhills,1622
"Registrar Co Op,Panaji",1357
Rehati,2697
Rehli,2460
Renapur,2128
Renukadevi Private Market Yard ,10104
Reon Kalan,8086
Repalli,1050
Rerozepur Zhirka,1999
Rewa,560
Rewari,480
Richha,3449
Ridmalsar,8161
"Ring Road Jn.,RBZ, Vizianagaram",1204
Risgaon,4035
Rishikesh,694
Risia,2607
Risod,1494
Robertsganj,1893
Roha,1426
Rohroo,3841
Rohtak,478
Rohtak(Kalanaur),2837
Roing,1135
Rolia,8188
Rompicherla,4748
Rona,530
Rongram,3992
Roopbas,8099
Roorkee,1114
Ropar,647
RSPuram(Uzhavar Sandhai ),10146
Rudauli,2603
Rudrangi,8011
Rudrapur,345
Ruperdeeha,3516
Rura,2580
S.Mandvi,470
Sabalgarh,2466
Sadak Arjuni,4761
Sadashivnagar,8043
Sadasivpet,11
Sadasivpet(Sangareddy),2788
Sadhaura,1988
Sadiq,1578
Sadulpur,265
Sadulpur(ph 3),1535
Sadulshahar,1541
Safdarganj,1935
Safidon,86
Sagabara,8385
Sagar,549
Sagar,782
Sagar(F&amp;V),3894
Sagar(Hosanagara),4115
Saharanpur,340
Saharpada,3919
Saharsa,422
Sahaspur,4254
Sahebganj,2057
Sahidngar,3914
Sahiyapur,1914
Sahnewal,1600
Sai Agro Infratrade Pvt Agri Market,10077
Saidpur,2610
Saidpurhat,418
Sailana,2431
Sainthia,4350
Sainthia(Suri),3954
Saja,4043
Sajapur,193
Sakaleshpura,526
Sakhigopal,224
Sakra,4021
Sakri,4058
Sakri,1436
Salem,1625
Salihabhata,4074
Salon,2587
Salumber,8190
Saluru,1051
Samalkha,2029
Samalkot,4393
Samana,245
Samana(Gajewas),3835
Samana(Kakrala),3836
Samartha Krushi Bajar Private Limited ,10089
Samastipur,417
Samba,2520
Sambal,2528
Sambalpur,622
Sambalpur,2770
Sambalpur (Bemetra),4046
Sambhal,1963
Samejakothi,8156
Sami,2666
Sampara,3456
Sampath Nagar(Uzhavar Sandhai ),10170
Sampla,2037
Samrala,639
Samraniyan,8432
Samsabad,2556
Samsi,357
Samudrapur,2120
Sanad,447
Sanawad,1375
Sanchor,2850
Sandaur,9011
Sandi,2593
Sandila,1950
Sandur,8298
Sangamner,848
Sanganer,8428
Sangarapuram,1360
Sangareddy,1257
Sangat,1576
Sanghavi Agriculture Marketing ,10071
Sangli,174
Sangli(Miraj),3117
"Sangli(Phale, Bhajipura Market)",2496
Sangod,8142
Sangola,580
Sangowal,8059
Sangrampur,1484
Sangrampur(Varvatbakal),2506
Sangriya,271
Sangrur,1759
Sanjan,8399
Sanjhi morh,8280
Sankagiri,10047
Sankarankoil(Uzhavar Sandhai ),10316
Sankarankovil,3616
Sankarapuram(Uzhavar Sandhai ),10313
Sankeshwar,727
Sankeshwara((Hukkeri),4120
Sankheda,8411
Sanquelim,839
"Sant Namdev Krushi Bazar, ",10090
Santalpur,8357
Santhamaguluru,1052
Santhesaguru(H.D.Kota),4153
Santhesargur,779
Santir Bazar,311
Santoshgarah,3753
Santoshgarh,3838
Santrampur,468
Santrampur(Fathaepura),2978
Sanwer,2417
Sapti,189
Saraikela,2162
Sarangapur,1053
Sarangarh,2412
Sarangpur,2709
Sarankul,3916
Saraskana,3911
Sarayapali,2402
Sardar Shahar,2847
Sardargarh,8335
Sardarnagar,1054
Sardhana,1959
Sardulgarh,1184
Sargaon,4056
Sargipali,1668
Sariya,4072
Sarolakalan,8138
Sarona,4102
"Saroornagar,RBZ",1248
Sarsiwan,4009
Sarswati,8359
Sarwar,8286
Sasaram,41
Sasthamkotta,2346
Satana,1801
Satara,1462
"Satellite,RBZ",3557
Sathiyamagalam(Uzhavar Sandhai ),10172
Sathupalli(Rythu Bazar),4296
Sathupally,8030
Sathur,3738
Sathur(Uzhavar Sandhai ),10297
Sathyamangalam,4367
Satlasana,8360
Satna,194
Satna(F&amp;V),3906
Sattenapalli,1057
Sattupalli,1056
"Sattupalli (ramalayam),RBZ",3591
Satyavedu,1055
Saunsar,2432
Saunsar (F&amp;V),3904
Savali,1503
Savanur,532
Savarkundla,1793
Savli,1704
Savli(Desar),3430
Savli(Samlaya),3021
Savner,607
Sawai Madhopur,661
Sayala,71
Sealdah Koley Market,3627
Secunderabad,1255
Sedam,759
"Seemarala Jaagir  , GSS, ",10135
Seethammadhara(Rythu Bazar),4307
"Seethammadhara,RBZ,Visakhapatnam",1205
Segaon,2719
Sehjanwa,1926
Sehora,1775
Sehore,550
Selemba,1707
Selemba(Navgam Javli),3024
Selempura,8157
Selu,1475
Sembanarkoil,1854
Semriharchand,2453
Sendhwa,1134
Sengoan,2092
Senjeri,3699
Seoni,561
Seppa,2916
Serchhip,1173
Sethiathoppu,4396
Sevda,2744
Sevur,1850
Shadabad,2558
Shadnagar,9
Shadnagar (Chowderguda),8002
Shadora,3068
Shahabad,96
Shahabad,2571
Shahabad(New Mandi),1951
Shahada,1450
Shahagarh,2735
Shahapur,2069
Shahapur,757
Shahaswan,2576
Shahdara,446
Shahdol,562
Shahganj,1954
Shahjahanpur,341
Shahkot,1182
Shahpur,2549
Shahpura,3169
Shahpura,8089
Shahpura Bhitoni (F&amp;V),3899
Shahpura(Jabalpur),1389
Shahzadpur,1984
Shajapur,2440
Shajapur(F&amp;V),3885
Shakot (Malsian),4419
Shakti,435
Shamgarh,2700
Shamgarh(F&amp;V),3883
Shamli,676
Shamshabad,2707
Shankarapally,1058
Shantilal Jain Agro,10064
Shegaon,1485
Shehra,2664
Shekari Krushi Khajgi Bazar,10080
Shekhpura,1649
Sheohar,10035
Sheopurbadod,2701
Sheopurkalan,1129
Sheoraphuly,2642
Sherpur,1760
Shetkari Khajgi Bajar,10074
Shetkari Khushi Bazar,10055
Shetkari Krushi Bazar,10115
Shevgaon,1433
Shevgaon(Bodhegaon),2476
Shiggauv,1769
Shihor,8419
Shikaripura,510
Shikohabad,1933
Shillong,2050
Shimla,491
Shimla and Kinnaur(Koti),2898
Shimla and Kinnaur(Nerwa),2925
Shimla and Kinnaur(Rampur),2896
Shimla and Kinnaur(Theog),2897
Shimoga,781
Shimoga(Theertahalli),4114
Shinor,2659
Shinor(Shinor Veg),3429
Shirala,4756
Shirpur,1437
Shirur,1827
Shirur Anantpal,2392
Shivpuri,563
Shivpuri(F&amp;V),3889
Shivrinarayanpur,4061
Shivsiddha Govind Producer Company Limited Sanchal,10121
Shnkheshwar,8358
Shopian,104
Shorapur,758
Shree Rameshwar Krushi Market ,10116
Shree Sairaj Krushi Market,10107
Shree Salasar Krushi Bazar ,10102
Shri Balaji krishi Utpanna Bazar Samiti ,10099
Shri Gajanan Maharaj Khajagi Krushi Utpanna Bazar,10088
Shri Madhopur  KVSS ,10132
Shri Pashupati Real Trade Pvt Limited ,10123
Shrigonda,1434
